name,phone,totalDebt,minimumAccept,status,persona
Erik Torres,9961831201,103672.79,35052.8,PENDING,delayed
Lynn Chavez,2110588561,115684.78,54022.4,PENDING,resistant
Matthew Harrington,9402967032,299854.85,195011.17,PENDING,high_risk
Johnny Hall,9534775831,110994.14,64223.33,PENDING,cooperative
Eric Jones,7205191676,101600.04,51005.35,PENDING,high_risk
Laura Everett,9399584996,63653.42,42238.54,PENDING,resistant
Amy Andersen,7187348693,167863.27,53187.99,PENDING,delayed
Kathy Walters,0158923841,284789.61,194960.63,PENDING,delayed
Autumn Ferguson,9731799095,154554.93,47531.43,PENDING,delayed
Bruce Pittman,2607314477,104353.44,44974.58,PENDING,resistant
Christina Ortiz,1586172202,273440.0,138877.68,PENDING,resistant
Lorraine Nixon,9785432668,222232.23,87028.5,PENDING,cooperative
Jeffrey Barr,7762537930,125178.18,82312.6,PENDING,cooperative
Natalie Ortiz,3020429144,178638.39,73106.31,PENDING,high_risk
Joshua Salazar,0878795835,264379.19,175676.1,PENDING,cooperative
Melissa Morgan,6306130035,71681.6,22455.33,PENDING,cooperative
Richard Bowers,6564683871,12718.11,6558.84,PENDING,cooperative
Yesenia Young,4454346517,160067.43,84028.1,PENDING,high_risk
Lauren Matthews,2561814994,218443.62,110543.61,PENDING,resistant
Richard Mitchell,1107315722,198683.01,128130.57,PENDING,high_risk
Logan Cunningham,2492748685,156259.22,84910.69,PENDING,resistant
Jonathan Lee,5482691169,160080.86,50012.92,PENDING,delayed
Carla Tucker,3215075603,146082.01,74729.15,PENDING,high_risk
Jason Powell,4639576809,206161.71,132373.78,PENDING,delayed
Olivia Kaufman,7773039285,277816.36,124777.44,PENDING,cooperative
Carla Norris,3692381936,258644.39,108535.78,PENDING,delayed
Joel Williams,3719101309,144777.31,44575.13,PENDING,resistant
Lindsey Rich,8393419934,195081.43,85568.38,PENDING,cooperative
Shannon Ochoa,0534617034,154485.66,86871.43,PENDING,high_risk
Christine Bailey,9965392109,98043.97,64476.34,PENDING,cooperative
Susan Hill,0863529422,277991.79,151654.61,PENDING,resistant
Bruce Payne,4517567017,219128.34,110308.08,PENDING,cooperative
Ann Moore DDS,4545569182,24802.95,9345.48,PENDING,cooperative
Andre Diaz,5652473393,45202.15,18083.23,PENDING,high_risk
Mary Walsh,0793575374,239918.69,136359.95,PENDING,cooperative
Shelby Schultz,6829938655,126710.19,43749.4,PENDING,cooperative
Shawn Heath,6167770298,265149.98,106263.35,PENDING,delayed
Timothy Ramirez,7190665772,241547.9,145305.22,PENDING,delayed
Christopher Hoffman,5920005678,250521.77,98956.37,PENDING,delayed
Janet Weber,0478678488,177621.54,66656.09,PENDING,delayed
Michael Wright,1051924962,108586.8,74559.47,PENDING,delayed
Johnny Ramos,4455623387,75019.34,43920.62,PENDING,resistant
Susan Conrad,1449511070,130714.68,66498.07,PENDING,delayed
Douglas English,9171777316,189926.66,99173.73,PENDING,high_risk
Jeffrey Jones DDS,0563061286,61724.79,33100.0,PENDING,resistant
Donald Mayo,8811620569,232361.38,79319.92,PENDING,cooperative
Bethany Phillips,5926085730,219877.14,108570.8,PENDING,delayed
Donna Terry,7808081417,214118.16,96578.19,PENDING,delayed
Stephen Martinez,1612167152,47579.73,19500.61,PENDING,resistant
April Lucero,9688269862,138571.92,81165.2,PENDING,cooperative
Alicia Cooper,6848668016,274117.04,89576.58,PENDING,high_risk
Sarah Hughes,8482764223,38138.6,13249.94,PENDING,resistant
Brittany Matthews,1826567312,241611.9,133454.68,PENDING,cooperative
Barbara Wiley,4983997825,283273.04,114483.83,PENDING,resistant
Timothy Calderon,0057936506,12429.41,6831.43,PENDING,delayed
Heather Frost,3802543045,125949.6,62294.29,PENDING,cooperative
Brian Barrett,8448400889,286328.32,159571.85,PENDING,delayed
Adam Bryant,4599343747,147812.5,54214.72,PENDING,delayed
Samuel Copeland,9640524582,232113.77,123250.33,PENDING,cooperative
Catherine Woods,2472662654,205001.52,123658.26,PENDING,delayed
John Cook,5152439681,90062.37,37745.4,PENDING,cooperative
John Lowe,9696112499,160493.08,90677.93,PENDING,high_risk
Evan Contreras,1376924353,267648.44,152755.61,PENDING,cooperative
Isabel Ford,1318212210,100471.68,62704.79,PENDING,delayed
Shawn Cortez,9023824273,5294.51,3411.63,PENDING,resistant
Brianna Hall,8157031561,203097.3,86311.7,PENDING,cooperative
Melanie Coffey,0746858022,174464.32,67920.74,PENDING,cooperative
William Mccall,7824075804,245288.03,97917.55,PENDING,cooperative
Robert Fisher,2343304883,10867.66,7487.72,PENDING,cooperative
Isaiah Zhang,6945978510,190013.04,104421.18,PENDING,high_risk
Crystal Duffy,6804481845,173706.69,72566.17,PENDING,cooperative
Sherry Richardson,2503943363,280813.04,178033.55,PENDING,delayed
Melissa Gomez,5034576702,67093.36,25300.42,PENDING,cooperative
Daniel Escobar,8954047222,152951.84,86673.13,PENDING,cooperative
Michael Atkins,6187513956,294404.89,98564.58,PENDING,resistant
Christopher Davis,3985548767,201194.23,88006.75,PENDING,cooperative
Bobby Johnson,4408926702,137414.56,67612.51,PENDING,cooperative
Tricia Werner,3540747972,204189.75,132452.45,PENDING,delayed
Brian Hanson,3535954861,110892.85,41837.39,PENDING,delayed
Michael Jackson,8135032858,53334.46,30822.02,PENDING,delayed
Trevor Anderson,7598802249,32017.18,10603.26,PENDING,resistant
Christopher Smith,2296581378,145931.09,60923.74,PENDING,delayed
Terry Salazar,3055003311,36749.51,21550.36,PENDING,high_risk
Shannon Obrien,4836689104,168930.37,65423.97,PENDING,resistant
Kimberly Dawson,2560493835,274047.36,189719.49,PENDING,resistant
Allison Smith,9138442871,108734.91,63974.14,PENDING,delayed
Jared Sims,1473984477,112682.42,50937.16,PENDING,cooperative
Carol Irwin,7831299237,136449.83,86513.38,PENDING,cooperative
Mark Miller,9027223569,90076.31,56350.87,PENDING,resistant
Lisa Hunt,1164159655,73499.53,34301.41,PENDING,high_risk
Karen Harris,9787223664,264906.35,132088.13,PENDING,high_risk
Scott Clark,2849325302,75669.48,31407.35,PENDING,cooperative
Steven Ferguson,3249025080,166116.61,107078.6,PENDING,delayed
Teresa Stevens,8213317552,44723.38,31269.18,PENDING,resistant
Jeremiah Jackson,0907039144,118894.87,62840.63,PENDING,cooperative
Donald Nash,3427153966,290603.09,170735.26,PENDING,cooperative
Natalie Campbell,0197681919,35298.69,18889.12,PENDING,cooperative
Julie Simon,5645855047,181031.03,103453.92,PENDING,cooperative
Scott Bell,4457064802,106154.58,72960.57,PENDING,cooperative
Connie Edwards,6853447717,170751.54,66911.46,PENDING,delayed
Dr. Michael Harper,8400493063,100856.7,55221.91,PENDING,cooperative
Taylor Burke,7753659139,166090.11,67949.93,PENDING,cooperative
Joshua Lara,5537228014,163397.64,89735.38,PENDING,cooperative
Michael Koch,7048447469,209325.59,123322.91,PENDING,high_risk
Matthew Johnson,9217285843,270680.67,183276.29,PENDING,cooperative
Tammy James,7252335597,178329.85,114729.8,PENDING,cooperative
Samantha Smith,9961872936,118192.98,55257.02,PENDING,delayed
Morgan Brown,4846881753,76553.45,47739.32,PENDING,cooperative
Jesus Miller,3035433434,133928.35,47827.99,PENDING,delayed
Claudia Carpenter,3382190449,250441.34,168043.2,PENDING,cooperative
Katherine Wilson,6067942547,171615.25,68868.52,PENDING,delayed
Julia Murray,7567690504,72674.65,39226.59,PENDING,delayed
Donald Rodriguez,9852459536,84901.51,56614.8,PENDING,resistant
Kelsey Hopkins,7275469958,12676.98,5126.74,PENDING,resistant
Heather Barr,3921017282,186030.09,80496.36,PENDING,resistant
Stacy Rivera,8516135971,97404.46,56773.75,PENDING,high_risk
Tina Wood,0684274534,199389.54,65067.27,PENDING,resistant
Marie Perez,3651620057,281374.95,158888.34,PENDING,cooperative
Isabella Thomas,4571296321,46841.66,30591.7,PENDING,cooperative
Mary Scott,0609285135,15938.53,5177.12,PENDING,cooperative
Monica Watson,8459182111,244237.02,83121.42,PENDING,high_risk
Wendy Shepherd,4177257729,205177.83,86250.35,PENDING,cooperative
Joe King,2209609151,31300.08,13607.81,PENDING,cooperative
Amy Sullivan,6354143283,186462.01,90790.31,PENDING,delayed
Amber Brown,3214787153,259510.77,112006.75,PENDING,delayed
Shaun Wolf,0985250839,50259.46,34428.43,PENDING,resistant
Scott Farrell,2887985820,181888.93,91740.24,PENDING,resistant
William Shepherd,9167940327,278136.21,179574.91,PENDING,delayed
Elijah Cortez,1144218437,286239.37,166294.71,PENDING,high_risk
Douglas Davis,0596187056,165655.05,98346.4,PENDING,delayed
Stacy Randolph,7514228711,281210.74,184255.08,PENDING,cooperative
Kelly Hopkins,5011243302,162154.23,87070.8,PENDING,delayed
Michele Martinez,3039047185,256277.0,100227.01,PENDING,cooperative
Kristina Moore,8374719776,77879.53,23933.17,PENDING,delayed
Angela Baldwin,4538176737,286402.28,190413.71,PENDING,resistant
Christopher Williams,6106779865,23771.75,10217.71,PENDING,cooperative
Hunter Johnson,9173056490,199206.77,104349.04,PENDING,cooperative
Debra Ayers,2288930444,185178.3,65928.39,PENDING,high_risk
Gina Wilson,5889443968,258495.99,149435.27,PENDING,resistant
Jason Johnson,3933598781,27497.06,9447.46,PENDING,high_risk
Amy Nguyen,5658067843,249126.44,91391.58,PENDING,cooperative
Lisa White MD,2374178530,210081.47,140727.81,PENDING,delayed
Brandi Martin,9807736771,44582.68,26270.21,PENDING,cooperative
Cheryl Flores,8260248814,111714.58,76019.89,PENDING,delayed
Nicole Cook,6062296234,237836.86,150102.16,PENDING,cooperative
Amy Hayes,6824123643,139364.38,89033.12,PENDING,cooperative
Diana Hernandez,4450740311,123137.29,60595.55,PENDING,resistant
Timothy Rogers IV,6946688405,191750.88,63615.93,PENDING,delayed
Jose Kelley,6652983850,211985.13,67280.5,PENDING,delayed
Jennifer Ryan,3967743471,73905.77,48034.74,PENDING,high_risk
Jason Johnson,9618030899,283070.38,166557.09,PENDING,cooperative
Rebecca Hunt,7234049286,5787.37,3847.74,PENDING,delayed
Kathleen Marquez,7991523001,197514.21,129662.15,PENDING,delayed
David Jordan,2788034527,296735.14,173255.98,PENDING,cooperative
Sarah Clark,3418399957,196876.73,99504.63,PENDING,cooperative
Kimberly Phillips,4879554827,18889.61,11646.3,PENDING,cooperative
Michael Burton,6130628902,174341.66,58517.52,PENDING,delayed
Jack Moran,2366276326,224857.96,87518.15,PENDING,resistant
John Lowe,4581195424,225819.49,73468.54,PENDING,high_risk
Ruth Long,4322015797,283192.03,115162.02,PENDING,delayed
Tony Rivera,1452686532,140212.1,57804.82,PENDING,delayed
Monica Fisher,1625183285,8052.0,2893.51,PENDING,delayed
Thomas Martin,8736912430,125883.44,63647.45,PENDING,delayed
Todd Carter,6993381586,17765.88,10322.76,PENDING,high_risk
Maria Gray,1790157980,97790.11,50403.27,PENDING,delayed
Sandra Turner,0884709665,18854.52,11072.01,PENDING,delayed
Melissa Johnson,8094057656,129490.0,46758.82,PENDING,high_risk
Hannah Houston,4393283274,287039.65,136937.0,PENDING,high_risk
Martin Williams,8598299576,114884.65,54333.8,PENDING,resistant
Mrs. Hannah Watson,4578458345,78821.72,55121.01,PENDING,cooperative
Eric Crawford,2342912256,246128.23,155934.92,PENDING,delayed
Andrew Myers,9088035029,140673.53,61658.49,PENDING,resistant
Sheri Hughes,2263932569,296665.44,205192.14,PENDING,resistant
Jennifer Herrera,3668964785,86227.7,53037.64,PENDING,cooperative
Richard Robinson,7200612479,90388.18,41671.75,PENDING,resistant
Lisa Powell,1620887150,78043.38,33814.9,PENDING,delayed
Benjamin Greer,3980840741,193619.81,112552.45,PENDING,resistant
Brianna Hill,2608694685,120128.14,67124.24,PENDING,resistant
Dawn Kelley,6614432219,244915.49,120016.33,PENDING,cooperative
Jade Chen,7689437339,137427.81,92555.86,PENDING,cooperative
Penny Madden,1713084721,125110.95,44143.45,PENDING,cooperative
Timothy Boyd,9826689487,86223.81,52260.52,PENDING,high_risk
Sara Christian,0179956771,248814.27,143972.42,PENDING,cooperative
Eugene Fernandez,9952004509,91848.31,59723.76,PENDING,cooperative
Cassandra Wilson,1673139692,197786.01,126591.85,PENDING,resistant
Melissa Wright,2170285470,189509.05,118815.54,PENDING,resistant
Tamara West DVM,7178069109,268996.67,170091.78,PENDING,delayed
Nicholas Boyle,4834267072,104526.14,44690.34,PENDING,high_risk
Dylan Trujillo,2188637800,259268.74,95955.13,PENDING,delayed
Christina Johnson,3269073220,89006.15,56366.11,PENDING,delayed
Erin Meyer,0410686736,24675.89,11231.48,PENDING,resistant
Christopher Martinez,7890614653,206448.46,95879.33,PENDING,resistant
Omar Berg,3461683469,20590.35,12031.8,PENDING,cooperative
Sandy Holmes MD,3394389765,19243.11,6744.45,PENDING,high_risk
Jenna Lewis,0073171454,43324.66,29623.53,PENDING,cooperative
Aaron Jackson,3727736834,282518.26,166575.47,PENDING,delayed
Jason Mitchell MD,6665593847,234733.59,105089.99,PENDING,cooperative
Cory Peterson,8842771417,293664.77,158121.11,PENDING,delayed
George Fuller,7678583501,222064.16,96816.41,PENDING,delayed
Sara Garcia,9540910528,83405.71,36063.34,PENDING,delayed
Monica Wang,3718624978,81495.58,36084.39,PENDING,delayed
Jon Banks,3520973217,30731.45,10091.25,PENDING,delayed
Nicole Ward,3857139371,22020.92,15178.68,PENDING,cooperative
Christopher Powers,0569737709,47017.86,20707.41,PENDING,delayed
Tabitha Hill,7745807465,136911.83,69805.22,PENDING,delayed
Janice Ramirez,5458687855,84657.83,36305.57,PENDING,resistant
Frank Pace,3192035505,22529.84,9712.54,PENDING,high_risk
April Davis,4668451413,147687.49,65600.56,PENDING,delayed
Susan Ball,6981073114,117434.63,36569.54,PENDING,resistant
Maria Henderson,6505858839,30754.98,12724.84,PENDING,cooperative
Becky Thomas,6066171617,285230.87,123182.39,PENDING,resistant
Eric Reed,2066633262,65364.34,37800.79,PENDING,resistant
Steven Wheeler,1704856548,97796.03,52048.5,PENDING,delayed
Martin Moore,1227774079,8807.91,4034.93,PENDING,high_risk
Shelby Nichols,6892667229,14278.09,7924.29,PENDING,cooperative
Kevin Yates,5714962503,288678.85,97913.11,PENDING,delayed
Hunter Freeman,4356954702,84766.16,28872.64,PENDING,delayed
Nicholas Gonzalez,0819795513,143826.25,72973.51,PENDING,high_risk
Lisa Robinson,0222831441,120296.26,49373.85,PENDING,delayed
Pamela Walters,7548384902,103312.46,62891.9,PENDING,delayed
Jim Andrews,1524060032,179001.3,82342.23,PENDING,high_risk
Frank Atkinson,3163511265,273485.85,171655.41,PENDING,cooperative
Kathleen Prince,5165615852,17840.85,10348.66,PENDING,cooperative
Jeremy Robinson,3528131361,216265.83,148093.37,PENDING,delayed
Gabrielle Villanueva,7551842446,238691.96,73115.14,PENDING,cooperative
Betty Russell,9614829769,151278.02,60140.43,PENDING,high_risk
Angela Harper,3554168759,255754.29,89769.68,PENDING,delayed
Carrie Rosales,7031491550,259545.87,129799.27,PENDING,delayed
Elizabeth Fields,0586678342,131032.88,69852.49,PENDING,resistant
Dennis Mckee,7338111333,200421.13,69863.2,PENDING,delayed
William Bright,7864508637,69239.33,48146.97,PENDING,resistant
Ryan Henry,4879324578,202558.14,95229.26,PENDING,resistant
Francisco Clark,9532972591,113485.92,77440.72,PENDING,delayed
Rachel Carlson,2494558501,278661.82,97193.86,PENDING,resistant
Scott Neal,6184425239,254536.32,137703.12,PENDING,delayed
Tina Hernandez,5686260493,206158.89,140766.29,PENDING,cooperative
Timothy Williams,7247416338,201264.25,66939.37,PENDING,delayed
Richard Murphy,9926097200,281718.48,174843.93,PENDING,cooperative
Patrick Hall,2218361604,286146.77,150000.29,PENDING,high_risk
Kiara Rodriguez,9534251623,135472.1,72407.25,PENDING,cooperative
Shawn Fischer,2056960519,16709.13,8908.77,PENDING,resistant
Veronica Davis,4651275077,86909.32,46059.21,PENDING,resistant
Nicholas Williams,4439713572,93410.38,28814.38,PENDING,delayed
John Fry,8105665699,7113.88,2190.38,PENDING,cooperative
Jay Collins,8523548879,65208.32,26998.59,PENDING,cooperative
Heather Thomas,7722909792,161230.47,51800.08,PENDING,resistant
Michael Garcia,7679209259,60802.14,35675.64,PENDING,high_risk
Jessica Pearson,0768406515,261482.82,125471.66,PENDING,cooperative
John Cook,1927238481,127228.03,63223.18,PENDING,delayed
Gina Martinez,6529391383,21247.11,8328.05,PENDING,resistant
Jeffery Townsend,3318085899,148141.25,100098.42,PENDING,delayed
Michael Fletcher,1781304951,90700.98,63477.94,PENDING,delayed
Bruce Owens,1452069801,289538.9,170984.74,PENDING,delayed
Mary Booth,5389802079,240402.14,94297.83,PENDING,high_risk
Justin Ruiz,8822432932,21480.29,13143.71,PENDING,cooperative
Jessica Johnson,6276962685,26627.01,15004.18,PENDING,resistant
Henry Townsend,5728345355,236787.04,135208.3,PENDING,delayed
Robert Cole,6007964665,37996.17,18084.36,PENDING,cooperative
Lauren Ruiz,8094798899,32980.63,21476.45,PENDING,resistant
Anna Fernandez,0122386430,111690.64,40002.9,PENDING,high_risk
Caleb Harper,4851699945,186144.01,107770.5,PENDING,resistant
Sarah Hawkins,8284340987,208699.07,106481.39,PENDING,high_risk
William Anthony DVM,5350528125,56272.96,20119.9,PENDING,delayed
Russell Reeves,7391435230,165954.77,72518.33,PENDING,delayed
Thomas Fitzpatrick,9351634526,51277.9,17648.58,PENDING,delayed
Dustin Cook,4393113687,288880.18,146918.77,PENDING,cooperative
Dominic Murray,0662961509,135399.45,89276.29,PENDING,cooperative
Antonio Miller,0786159811,62829.4,21553.21,PENDING,cooperative
Joseph Gibbs,4208652566,21471.7,13241.41,PENDING,cooperative
Tony Casey,4360098555,53565.23,30930.83,PENDING,delayed
Craig Barrett,2341483328,275196.82,174521.65,PENDING,resistant
Richard Garcia,5381929510,58994.11,27754.48,PENDING,cooperative
Eric Rice,4807233296,77075.09,43929.63,PENDING,resistant
Kevin Joseph,6974002954,70240.77,31617.06,PENDING,high_risk
Melissa Jones,3119421937,163070.66,91655.24,PENDING,resistant
Kristin Brooks,4079217467,233638.61,88651.86,PENDING,high_risk
Roberta Andrade,5476856144,161002.09,64287.84,PENDING,high_risk
David Garcia,6459193747,102283.4,41307.33,PENDING,cooperative
Jonathan Rocha,3147742603,154457.3,54113.16,PENDING,delayed
Joseph Wilson DDS,9858076282,286935.38,112590.47,PENDING,delayed
Carla Gibson,8609396153,25540.4,10413.16,PENDING,delayed
Tara Scott,9178311883,222326.26,84727.95,PENDING,delayed
Sheri Acosta,9535996956,9210.75,4538.46,PENDING,cooperative
Tina Wilson,4993535526,42729.66,28827.1,PENDING,cooperative
James Rios,3969675174,218398.94,70365.83,PENDING,delayed
Kenneth Jackson,8636026336,158666.78,106922.29,PENDING,delayed
James Thompson,5150978105,104792.07,57876.55,PENDING,delayed
Michael Kelly,1572747935,236429.73,78496.91,PENDING,delayed
Patrick Burns,8395012514,203789.05,79701.29,PENDING,delayed
Cole Brown,1364338091,70761.75,40163.47,PENDING,delayed
William Heath,7953954731,105005.88,40992.31,PENDING,cooperative
Christopher Medina,6151495756,69561.85,46932.06,PENDING,cooperative
John Sanders,7795826110,73595.91,47723.3,PENDING,cooperative
Maria Cooke,7299108111,230590.35,84502.8,PENDING,delayed
Robert Morris,6080081729,241528.35,87808.5,PENDING,delayed
Joanna Pierce,7971114216,179810.22,71411.9,PENDING,delayed
Tammy Vazquez,3287389226,34608.97,19042.63,PENDING,cooperative
Ronald Cobb,6352946876,219270.54,96223.85,PENDING,delayed
Bernard Jordan,0655422492,256475.91,106096.6,PENDING,delayed
Katherine Morris,1687799060,240776.82,89965.68,PENDING,delayed
Lori Williams,8634435938,31110.04,14722.39,PENDING,resistant
Melanie Archer,6913396300,152947.66,84825.6,PENDING,cooperative
Matthew Wallace,2077949936,22566.44,8160.06,PENDING,cooperative
Nathan Jackson,2813068114,227729.89,81464.39,PENDING,cooperative
Daniel Ortiz,7994780198,87444.56,30662.81,PENDING,cooperative
Kyle Reyes,3948558391,162584.77,70306.22,PENDING,delayed
Thomas Hughes,3707784233,259039.78,107404.23,PENDING,cooperative
Julie Oliver,3478235401,126424.22,39002.81,PENDING,cooperative
Karen Watkins,9384270631,233403.34,159441.53,PENDING,delayed
Ashley Weeks,1375691740,111731.29,40790.44,PENDING,cooperative
Jill Alvarez,5751556238,34373.34,18268.75,PENDING,delayed
Christopher Jones,1039428824,8612.85,5203.25,PENDING,delayed
Phillip Smith,8294843230,220996.91,137257.53,PENDING,cooperative
Joseph Perkins,5721555121,53644.09,22523.25,PENDING,cooperative
Natasha Doyle,6841618832,238812.27,107263.71,PENDING,cooperative
Shannon Hoffman,3931248125,202252.13,141473.21,PENDING,resistant
Crystal Thompson,8345295102,75813.91,47780.8,PENDING,resistant
Erin Sullivan,0761719587,33697.44,21598.96,PENDING,delayed
Benjamin Baker,3763782259,184411.86,89081.24,PENDING,delayed
Brian Chapman,3488806020,135796.65,61747.2,PENDING,cooperative
Paul Smith,0811416936,110017.02,33281.02,PENDING,cooperative
